"V1","V2"
1480,-0.526
1480,1.72
1480,1.72
1480,-1.88
1490,4.42
1490,8.17
1490,8.67
1490,5.82
1490,5.62
1490,7.33
1500,3.78
1500,4.39
1500,3.65
1500,3.86
1500,5.57
1500,5.33
1510,5.29
1510,3.1
1510,10.4
1510,8.78
1510,9.2
1510,7.31
1520,6.28
1520,4
1520,3.92
1520,5.14
1520,5.26
1520,-0.564
1530,-3.09
1530,-1.26
1530,-0.338
1530,3.69
1530,-1.48
1530,1.05
1540,1.47
1540,0.65
1540,-1.22
1540,-0.0909
1540,0.99
1540,-0.828
1550,0.305
1550,1.24
1550,1.02
1550,2.46
1550,2.95
1550,2.79
1560,3.63
1560,4.77
1560,4.46
1560,3.45
1560,1.24
1560,4.69
1570,4.38
1570,6.03
1570,5.83
1570,2.88
1570,1.93
1570,0.677
1580,2.98
1580,4.33
1580,4.63
1580,5.49
1580,2.74
1580,2.25
1590,1.86
1590,4.72
1590,3.78
1590,3.99
1590,1.7
1590,3.16
1600,7.92
1600,5.59
1600,2.11
1600,2.72
1600,1.24
1600,-1.64
1610,0.929
1610,4.55
1610,0.123
1610,-2.4
1610,-0.379
1610,-0.354
1620,2.02
1620,2.45
1620,2.03
1620,2.91
1620,1.24
1620,1.53
1630,0.661
1630,1.8
1630,6.88
1630,2.52
1630,2.96
1630,6.25
1640,2.75
1640,-2.81
1640,-6.46
1640,-6.96
1640,-0.564
1640,4.49
1650,6.19
1650,7.35
1650,2.05
1650,-0.239
1650,-0.628
1650,4.14
1660,3.05
1660,6.07
1660,2.44
1660,-1.94
1660,-1.56
1660,-0.483
1670,-1.25
1670,-0.815
1670,-0.826
1670,2.17
1670,4.11
1670,7.07
1680,6.97
1680,6.34
1680,0.304
1680,2.63
1680,2.71
1680,2.51
1690,3.96
1690,4.48
1690,2.81
1690,1.52
1690,-0.546
1690,-4.51
1700,2.41
1700,2.17
1700,2.33
1700,2.66
1700,0.977
1700,-1.55
1710,-1.83
1710,-4.61
1710,-3.66
1710,-3.24
1710,-1.88
1710,1.05
1710,3.91
1720,4.41
1720,5.16
1720,2.96
1720,2.72
1720,-5.53
1720,-1.52
1730,0.482
1730,2.09
1730,0.148
1730,-0.842
1730,-0.482
1730,1.33
1740,3.89
1740,5.51
1740,4.12
1740,5.84
1740,6.2
1740,9.27
1750,6.69
1750,8.01
1750,4.93
1750,4
1750,2.87
1750,3.99
1760,6.12
1760,6.94
1760,9.77
1760,11.8
1760,14.5
1760,9.75
1770,8.18
1770,6.96
1770,6.55
1770,10.1
1770,6.22
1770,5.75
1770,3.54
1780,1.78
1780,0.424
1780,4.67
1780,2.71
1780,2.41
1780,3.46
1790,5.61
1790,2.11
1790,0.46
1790,-2.59
1790,-4.03
1790,0.0306
1800,1.09
1800,1.75
1800,0.17
1800,0.0884
1800,-0.144
1800,1.73
1810,0.645
1810,-0.433
1810,1.34
1810,-0.588
1810,0.337
1810,-0.0873
1820,1.64
1820,4.47
1820,3.9
1820,4.48
1820,3.86
1820,2.74
1820,0.92
1830,5
1830,3.13
1830,4.27
1830,2.4
1830,3.34
1830,6.57
1840,4.26
1840,3.95
1840,8.04
1840,11.4
1840,13.7
1840,12.3
1850,11.1
1850,5.53
1850,4.63
1850,6.63
1850,5.83
1850,4.44
1860,1.1
1860,0.762
1860,1.32
1860,3.09
1860,0.458
1860,1.43
1860,1.15
