"V1","V2"
1010,15.7
1010,9.65
1010,3.73
1020,7.83
1020,4.54
1020,-2.07
1020,-3.53
1020,5.5
1030,11.2
1030,13
1030,16
1030,40.3
1030,76.9
1030,124
1040,170
1040,216
1040,217
1040,197
1040,178
1040,161
1050,136
1050,110
1050,77.3
1050,51.3
1050,24.9
1050,12.5
1060,4.33
1060,-9.12
1060,-8.13
1060,-10.2
1060,-10.5
1070,-5.16
1070,-5.23
1070,-1.77
1070,9.98
1070,-3.03
1070,-2.75
1080,-6.26
1080,3.37
1080,1.11
1080,-1.46
1080,-2.58
1080,6.47
1090,0.31
1090,-9.7
1090,-13.8
1090,-9.85
1090,-1.98
1090,-14
1100,-3.77
1100,10.6
1100,16.7
1100,28.5
1100,28.6
1100,24.4
1110,19
1110,11
1110,3.88
1110,-2.33
1110,-7.71
1120,3.66
1120,3.36
1120,0.592
1120,5.45
1120,6.74
1120,-8.06
1130,-8.45
1130,-9.37
1130,-14.3
1130,-16.8
1130,-13.5
1130,-21.1
1140,-2.95
1140,1.93
1140,22.2
1140,25.4
1140,40.9
1140,80.5
1150,116
1150,173
1150,248
1150,331
1150,405
1150,440
1160,423
1160,377
1160,368
1160,373
1160,418
1160,513
1170,658
1170,793
1170,834
1170,762
1170,561
1170,376
1180,236
1180,136
1180,69.6
1180,30.5
1180,16
1190,-5.38
1190,-19.1
1190,-16.8
1190,-10.3
1190,-0.227
1190,-0.267
1200,-3.63
1200,-3.87
1200,-3.03
1200,4.16
1200,-4.13
1200,-2.2
1210,4.55
1210,-3.02
1210,-13.4
1210,-0.734
1210,25
1210,48.7
1220,84.6
1220,146
1220,201
1220,243
1220,238
1220,185
1230,128
1230,73.1
1230,36.2
1230,15.8
1230,-3.1
1230,-16.1
1240,-5.64
1240,-8.21
1240,-7.72
1240,-9.04
1240,-8.17
1240,1.81
1250,11.6
1250,17.5
1250,30.2
1250,43.9
1250,81
1250,112
1260,137
1260,134
1260,107
1260,65.7
1260,29.1
1260,17.5
1270,-12.1
1270,-9.15
1270,-12.9
1270,-18.7
1270,-9.27
1270,-4.13
1280,6.97
1280,3.3
1280,11.2
1280,14.6
1280,9.1
1280,14.7
1290,22.6
1290,35.2
1290,66.9
1290,84
1290,97.9
1290,122
1300,143
1300,153
1300,152
1300,162
1300,188
1300,219
1310,240
1310,256
1310,248
1310,232
1310,216
1310,208
1320,215
1320,247
1320,264
1320,297
1320,339
1320,397
1330,464
1330,546
1330,649
1330,760
1330,800
1330,764
1340,691
1340,597
1340,533
1340,488
1340,474
1340,453
1350,428
1350,472
1350,431
1350,445
1350,452
1350,470
1350,488
1360,507
1360,536
1360,574
1360,583
1360,588
1360,571
1370,542
1370,493
1370,487
1370,488
1370,486
1370,481
1380,495
1380,492
1380,469
1380,445
1380,435
1380,430
1390,419
1390,405
1390,397
1390,387
1390,384
1390,383
1400,393
1400,357
1400,334
1400,329
1400,323
1400,326
1410,327
1410,322
1410,321
1410,300
1410,291
1410,287
1420,282
1420,278
1420,268
1420,266
1420,273
1420,272
1420,266
1430,256
1430,238
1430,241
1430,253
1430,273
1430,302
1440,324
