"V1","V2"
1510,45.9
1510,36.6
1510,28.7
1510,26.7
1520,29.6
1520,35.6
1520,44.2
1520,53.4
1520,60.6
1520,65.7
1530,71.5
1530,82.5
1530,105
1530,143
1530,205
1530,294
1540,404
1540,502
1540,542
1540,508
1540,418
1540,311
1550,220
1550,160
1550,125
1550,105
1550,92.2
1550,83.8
1560,78.6
1560,75.5
1560,71.6
1560,65.7
1560,59.2
1560,52.2
1570,44.1
1570,36
1570,29
1570,24
1570,20.6
1570,17.3
1580,12.5
1580,6.96
1580,2.34
1580,-0.0532
1580,-0.23
1580,0.852
1590,1.54
1590,1.07
1590,0.723
1590,1.07
1590,1.55
1590,1.28
1600,0.178
1600,-1.36
1600,-2.81
1600,-3.37
1600,-2.65
1600,-1.16
1610,0.295
1610,0.933
1610,0.491
1610,-0.161
1610,-0.219
1610,0.388
1620,1.42
1620,2.09
1620,1.62
1620,0.555
1620,-0.259
1620,-0.875
1630,-1.21
1630,-0.557
1630,0.955
1630,1.96
1630,1.33
1630,-0.624
1640,-2.33
1640,-2.59
1640,-1.53
1640,-0.043
1640,1.11
1640,1.56
1650,1.61
1650,1.43
1650,0.867
1650,0.261
1650,-0.129
1650,-0.578
1660,-0.653
1660,0.103
1660,1.13
1660,1.51
1660,0.825
1660,-0.173
1670,-0.498
1670,-0.341
1670,-0.0452
1670,0.253
1670,0.335
1670,0.128
1680,-0.764
1680,-1.93
1680,-1.93
1680,-0.42
1680,1.15
1680,1.41
1690,0.757
1690,0.333
1690,0.46
1690,0.768
1690,0.828
1690,0.609
1700,0.496
1700,0.607
1700,0.589
1700,-0.0729
1700,-1.36
1700,-2.07
1710,-1.69
1710,-0.46
1710,0.685
1710,0.713
1710,0.117
1710,0.015
1710,0.424
1720,0.744
1720,0.559
1720,-0.203
1720,-0.836
1720,-0.527
1720,0.312
1730,0.635
1730,0.627
1730,0.81
1730,0.528
1730,-0.346
1730,-1.05
1740,-1.27
1740,-0.929
1740,0.2
1740,1.73
1740,2.56
1740,2.19
1750,1.62
1750,1.9
1750,2.85
1750,3.55
1750,3.51
1750,3.26
1760,3.24
1760,3.42
1760,3.75
1760,4.26
1760,4.95
1760,5.25
1770,4.67
1770,3.76
1770,3.27
1770,3.09
1770,2.66
1770,1.87
1770,0.737
1780,-0.395
1780,-1.02
1780,-1.4
1780,-1.58
1780,-0.963
1780,0.0142
1790,0.19
1790,-0.635
1790,-0.976
1790,0.131
1790,1.61
1790,2.18
1800,1.89
1800,1.12
1800,-0.0203
1800,-0.211
1800,1.87
1800,3.66
1810,2.39
1810,-0.00946
1810,-1.26
1810,-1.3
1810,-0.46
1810,0.635
1820,1.14
1820,0.606
1820,-0.876
1820,-2.16
1820,-1.76
1820,0.281
1820,1.74
1830,1.63
1830,1.1
1830,0.893
1830,0.85
1830,0.79
1830,0.469
1840,-0.0939
1840,-0.593
1840,-0.694
1840,-0.438
1840,-0.383
1840,-0.504
1850,0.0225
1850,1.34
1850,2.36
1850,2.25
1850,1.49
1850,1.09
1860,1.41
1860,1.83
1860,1.38
1860,0.0739
1860,-1
1860,-1.16
1860,-0.595
1870,0.0521
1870,0.264
1870,0.192
1870,0.316
1870,0.679
1870,0.809
1880,0.378
1880,-0.141
1880,0.11
1880,0.929
1880,1.16
1880,0.568
1890,0.111
1890,0.562
1890,1.92
1890,4.11
1890,6.93
1890,9.62
1890,11.5
1900,12.5
1900,12.4
1900,11.3
1900,9.71
1900,8.21
1900,6.36
1910,3.89
1910,1.77
1910,0.637
1910,-0.00513
1910,-0.113
1910,0.895
1920,2.1
1920,1.87
1920,0.55
1920,-0.401
1920,-0.737
1920,-0.881
1920,-0.759
1930,-0.192
1930,0.564
1930,1.04
1930,0.934
1930,0.379
1930,-0.0319
1940,0.215
1940,1.02
1940,1.43
1940,0.469
1940,-1.23
1940,-2
1950,-1.53
1950,-1.02
1950,-0.832
1950,-0.379
1950,0.531
1950,1.35
1950,1.39
1960,0.965
1960,0.762
1960,0.748
1960,0.802
1960,1.04
1960,1.45
1970,1.9
1970,2.28
1970,2.41
1970,2.25
1970,2.35
1970,2.85
1980,3.06
1980,2.97
1980,2.98
1980,2.78
1980,1.95
1980,0.968
1980,0.566
1990,0.716
1990,1.01
1990,1.18
1990,0.919
1990,0.459
1990,0.389
2000,0.336
2000,-0.248
2000,-0.742
2000,-0.671
2000,-0.529
2000,-0.593
2000,-0.337
2010,0.226
2010,0.312
2010,-0.188
2010,-0.183
2010,0.861
2010,1.91
2020,2.02
2020,1.78
2020,2.01
2020,2.54
2020,3.23
2020,4.17
2020,4.89
2030,5.21
2030,5.89
2030,7.19
2030,8.16
2030,7.94
2030,6.41
2040,4.33
2040,2.94
2040,2.67
2040,2.82
2040,2.63
2040,2.62
2050,3.54
2050,4.68
2050,5.11
2050,5.42
2050,6.26
2050,6.85
2050,6.26
2060,4.71
2060,3.59
2060,4.01
2060,5.89
2060,8
2060,8.49
2070,6.97
2070,5.43
2070,5.31
2070,6.13
2070,6.97
2070,6.82
2070,5.22
2080,3.52
2080,3.14
2080,3.73
2080,3.79
2080,2.85
2080,2.14
2090,2.51
2090,2.82
2090,2.07
2090,1.17
2090,1.16
2090,1.85
2090,2.16
2100,1.1
2100,-1.04
2100,-2.65
2100,-2.85
2100,-2.19
2100,-1.39
2110,-0.456
2110,0.547
2110,1.21
2110,1.55
2110,2.08
2110,2.86
2110,3.37
2120,3.43
2120,2.99
2120,2.1
2120,1.39
2120,1.61
2120,2.88
2120,4.24
2130,4.55
2130,4.32
2130,4.83
2130,5.81
2130,6.08
2130,5
2140,3.33
2140,2.85
2140,3.92
2140,5.01
2140,4.99
2140,3.91
2140,2.5
2150,1.81
2150,2.1
2150,2.73
2150,3.22
2150,3.35
2150,3
2160,2.42
2160,2.07
2160,2.01
2160,1.83
2160,1.43
2160,1.42
2160,1.85
2170,1.68
2170,0.358
2170,-1.14
2170,-1.59
2170,-1.19
2170,-0.685
2180,-0.248
2180,-0.0682
2180,-0.356
2180,-0.589
2180,-0.329
2180,0.251
2180,0.786
2190,1.28
2190,1.56
2190,1.62
2190,2.32
2190,3.82
2190,5.24
2190,6.06
2200,6.39
2200,6.21
2200,5.36
2200,4.4
2200,4.1
2200,4.34
2210,4.39
2210,3.67
2210,2.82
2210,3.08
2210,4.28
2210,5.53
2210,6.44
2220,6.68
2220,6.42
2220,6.05
2220,5.73
2220,6.07
2220,6.88
2220,6.84
2230,5.92
2230,4.84
2230,3.75
2230,2.94
2230,2.33
2230,1.37
2240,0.709
2240,1.21
2240,2.21
2240,2.61
2240,2.34
2240,2.17
2240,2.19
2250,1.73
2250,0.716
2250,-0.214
2250,-0.451
2250,0.201
2250,1.37
2250,2.5
2260,3.3
2260,3.75
2260,3.89
2260,3.52
2260,2.76
2260,2.27
2270,2.45
2270,3.33
2270,4.74
2270,6.02
2270,6.69
2270,7.14
2270,7.96
2280,8.73
2280,8.44
2280,6.68
2280,3.86
2280,1.17
2280,-0.24
2280,-0.452
2290,-0.181
2290,0.155
2290,0.203
2290,-0.041
2290,0.0523
2290,0.998
2290,2.27
2300,2.55
2300,1.44
2300,-0.174
2300,-1.45
2300,-2.23
2300,-2.44
2310,-1.81
2310,-0.177
2310,2.09
2310,4.12
2310,5.22
2310,5.44
2310,5.31
2320,5.02
2320,4.27
2320,3.21
2320,2.7
2320,3
2320,3.41
2320,3.29
2330,2.82
2330,2.88
2330,3.48
2330,3.43
2330,2.14
2330,0.383
2330,-0.612
2340,-0.117
2340,1.51
2340,3.12
2340,4.05
2340,4.1
2340,2.96
2350,1.19
2350,0.373
2350,1.18
2350,2.38
2350,2.88
2350,2.85
2350,2.33
2360,1.13
2360,0.0481
2360,-0.0723
2360,0.375
2360,0.76
2360,1.17
2360,1.63
2370,1.66
2370,1.07
2370,0.138
2370,-0.679
2370,-1.01
2370,-0.916
2370,-0.897
2380,-1.11
2380,-0.984
2380,-0.356
2380,0.354
2380,0.793
2380,0.818
2380,0.533
2390,0.28
2390,0.303
2390,0.396
2390,-0.0286
2390,-0.89
2390,-1.51
2400,-1.78
2400,-1.73
2400,-0.862
2400,0.825
2400,2.11
2400,2.16
2400,1.61
2410,1.12
2410,0.442
2410,-0.465
2410,-0.795
2410,0.0291
2410,1.62
2410,2.89
2420,3.17
2420,2.98
2420,3.32
2420,4.48
2420,5.81
2420,6.38
2420,5.9
2430,4.86
2430,4.21
2430,4.68
2430,6.23
2430,7.56
2430,7.51
2430,6.57
2440,5.77
2440,5.17
2440,4.32
2440,3.29
2440,2.7
2440,2.9
2440,3.88
2450,5.29
2450,6.08
2450,5.52
2450,4.42
2450,3.77
2450,3.42
2450,3.18
2460,3.13
2460,2.8
2460,2.21
2460,2.21
2460,2.71
2460,2.68
2460,2.33
2470,2.71
2470,3.59
2470,4.24
2470,4.81
2470,4.94
2470,4.04
2470,2.69
2480,1.47
2480,0.286
