Sample.Code,ï..sample,Drain,Site.Code,Repeat.Number,Filter.Size,Sample.Code,Total.Fragment.Count,Fragment.L,Total.Film.Count,Film.L,Total.Bead.Count,Bead.L,Total.Fibre.Count,Blank.deduction,Total.Fibre.Blank.Correction,Fibre.L,Total.MP.Blank.Correct,corrected_counts,corrected_counts_perL,corrected_count_across_sizes,corrected_count_across_sizes/L,catchment_area_ha,catchment_population,residential_proportion,industrial_proportion,services_proportion,agricultural_proportion,naturalenvironments_proportion,waterenvironment_proportion,production_proportion,transportation_proportion,waste_proportion,rainfall_week_prior_mm
C1.2.2,30,C,C1,2,2,C1.2.2,0,0,0,0,0,0,82,1,81,8.1,81,39,3.9,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,56.8
C1.2.3,31,C,C1,2,3,C1.2.3,0,0,0,0,0,0,103,1,102,10.2,102,39,3.9,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,56.8
C1.2.4,32,C,C1,2,4,C1.2.4,0,0,0,0,0,0,14,1,13,1.3,13,5,0.5,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,56.8
C1.3.1,33,C,C1,3,1,C1.3.1,0,0,0,0,0,0,16,1,15,1.5,15,9,0.9,155,15.5,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,56.8
C1.3.2,34,C,C1,3,2,C1.3.2,0,0,0,0,1,0.1,92,1,91,9.1,92,45,4.5,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,56.8
C1.3.3,35,C,C1,3,3,C1.3.3,2,0.2,0,0,1,0.1,132,1,131,13.1,134,66,6.6,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,56.8
C1.3.4,36,C,C1,3,4,C1.3.4,5,0.5,0,0,0,0,74,2,72,7.2,77,35,3.5,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,56.8
C2.1.1,37,C,C2,1,1,C2.1.1,0,0,0,0,0,0,43,1,42,4.2,42,15,1.5,143,14.3,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.1.2,38,C,C2,1,2,C2.1.2,0,0,0,0,0,0,123,2,121,12.1,121,52,5.2,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.1.3,39,C,C2,1,3,C2.1.3,2,0.2,0,0,0,0,98,1,97,9.7,99,44,4.4,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.1.4,40,C,C2,1,4,C2.1.4,0,0,0,0,0,0,74,1,73,7.3,73,32,3.2,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.2.1,41,C,C2,2,1,C2.2.1,7,0.7,0,0,0,0,56,1,55,5.5,62,30,3,120,12,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.2.2,42,C,C2,2,2,C2.2.2,3,0.3,0,0,0,0,106,1,105,10.5,108,60,6,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.2.3,43,C,C2,2,3,C2.2.3,10,1,0,0,0,0,33,0,33,3.3,43,18,1.8,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.2.4,44,C,C2,2,4,C2.2.4,4,0.4,0,0,0,0,22,2,20,2,24,12,1.2,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.3.1,45,C,C2,3,1,C2.3.1,2,0.2,0,0,0,0,55,1,54,5.4,56,29,2.9,66,6.6,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
