"V1","V2"
2390,-5.96
2390,-1.4
2390,-3.12
2400,2.6
2400,6.86
2400,2.42
2400,5.45
2400,0.581
2400,6.11
2400,-1.96
2400,-10.5
2410,-7.6
2410,4.83
2410,3.37
2410,7.49
2410,-3.48
2410,-7.46
2410,2.87
2420,5
2420,0.631
2420,5.16
2420,3.9
2420,2.23
2420,-1.43
2420,2.01
2420,-0.352
2430,0.791
2430,3.73
2430,-1.93
2430,-2.09
2430,4.25
2430,6.68
2430,-1.69
2440,4.33
2440,-5.24
2440,-5.11
2440,-5.69
2440,5.84
2440,6.57
2440,0.905
2440,1.34
2450,-0.433
2450,6.29
2450,-11
2450,8.24
2450,3.27
2450,-5.1
2450,1.53
2460,0.16
2460,4.69
2460,3.43
2460,2.57
2460,6.71
2460,2.85
2460,-1.71
2460,3.03
2470,3.68
2470,2.83
2470,5.67
2470,0.825
2470,8.98
2470,6.53
2470,4.69
2480,6.05
2480,-1.59
2480,3.77
2480,6.14
2480,5.01
2480,8.68
2480,6.45
2480,4.13
2490,7.31
2490,-7.81
2490,0.271
2490,-0.342
2490,3.45
2490,-0.258
2490,-2.86
2490,-0.661
2500,-4.02
2500,3.51
2500,-0.845
2500,1.6
2500,5.14
2500,1.69
2500,-3.17
2510,4.18
2510,4.03
2510,3.59
2510,9.14
2510,0.0996
2510,7.06
2510,-2.88
2510,-1.42
2520,-5.55
2520,5.02
2520,7.29
2520,13.4
2520,5.44
2520,-10.1
2520,-2.3
2520,-2.82
2530,3.16
2530,-3.86
2530,1.12
2530,3.31
2530,0.126
2530,-2.05
2530,8.37
2540,0.0879
2540,0.00977
2540,3.63
2540,0.758
2540,6.98
2540,-0.688
2540,1.24
2540,8.17
2550,9.9
2550,1.74
2550,-7.43
2550,0.91
2550,8.65
2550,-0.611
2550,12.8
2550,0.875
2560,3.12
2560,7.67
2560,2.12
2560,2.57
2560,5.22
2560,-5.12
2560,5.93
2560,6.49
2570,-3.05
2570,-4.68
2570,-0.816
2570,-7.35
2570,6.32
2570,8.79
2570,-4.03
2580,-5.35
2580,3.93
2580,6.21
2580,1.5
2580,-3.81
2580,3.48
2580,-3.72
2580,-1.42
2590,5.69
2590,-2.41
2590,-0.993
2590,6.75
2590,-2.1
2590,-2.56
2590,-0.709
2590,0.441
2600,-2.01
2600,5.25
2600,8
2600,12.2
2600,4.72
2600,3.98
2600,8.95
2600,0.511
2610,4.48
2610,4.84
2610,8.31
2610,2.28
2610,-8.54
2610,4.03
2610,3.51
2610,3.08
2620,8.76
2620,2.34
2620,-4.38
2620,5.41
2620,4.99
2620,-5.02
2620,3.96
2630,7.45
2630,0.44
2630,6.03
2630,4.42
2630,-0.183
2630,-3.09
2630,0.709
2630,-2.29
2640,-0.0938
2640,2.01
2640,-0.791
2640,11.3
2640,-3.18
2640,-2.68
2640,5.73
2640,2.03
2650,1.34
2650,-4.35
2650,1.45
2650,7.36
2650,14.3
2650,1.49
2650,-2
2650,1.82
2660,6.54
2660,1.56
2660,2.88
2660,13.7
2660,0.221
2660,-0.754
2660,-1.53
2660,2.6
2670,7.03
2670,-2.74
2670,-1.51
2670,8.03
2670,-1.64
2670,6.2
2670,-1.16
2670,-0.223
2680,0.913
2680,-0.351
2680,3.99
2680,1.33
