"V1","V2"
1440,0.375
1440,0.424
1440,0.298
1440,0.115
1440,-0.0573
1440,-0.161
1450,-0.124
1450,-0.0428
1450,-0.0427
1450,-0.0299
1450,0.0832
1450,0.178
1460,0.176
1460,0.124
1460,0.126
1460,0.182
1460,0.175
1460,0.3
1470,0.695
1470,0.899
1470,0.701
1470,0.467
1470,0.261
1470,-0.0676
1480,-0.329
1480,-0.307
1480,-0.153
1480,-0.092
1480,-0.00848
1480,0.151
1490,0.148
1490,0.0333
1490,0.0279
1490,0.0601
1490,-0.045
1490,-0.119
1500,0.105
1500,0.519
1500,0.711
1500,0.563
1500,0.362
1500,0.289
1510,0.351
1510,0.379
1510,0.157
1510,-0.0492
1510,0.0762
1510,0.302
1520,0.415
1520,0.457
1520,0.359
1520,0.167
1520,0.107
1520,0.247
1530,0.565
1530,0.878
1530,0.813
1530,0.361
1530,-0.0146
1530,-0.00842
1540,0.211
1540,0.313
1540,0.196
1540,0.0396
1540,0.0216
1540,0.0662
1550,0.00708
1550,-0.155
1550,-0.256
1550,-0.222
1550,-0.0603
1550,0.212
1560,0.336
1560,0.196
1560,0.022
1560,-0.101
1560,-0.171
1560,-0.0885
1570,0.101
1570,0.223
1570,0.108
1570,-0.117
1570,-0.286
1570,-0.386
1580,-0.358
1580,-0.114
1580,0.315
1580,0.709
1580,0.8
1580,0.623
1590,0.405
1590,0.293
1590,0.322
1590,0.317
1590,0.14
1590,-0.046
1600,-0.132
1600,-0.183
1600,-0.216
1600,-0.0979
1600,0.264
1600,0.676
1610,0.944
1610,0.885
1610,0.41
1610,0.0162
1610,0.0699
1610,0.211
1620,0.185
1620,0.214
1620,0.319
1620,0.247
1620,-0.000671
1620,-0.207
1630,-0.19
1630,-0.0922
1630,-0.14
1630,-0.137
1630,0.129
1630,0.446
1640,0.35
1640,-0.13
1640,-0.344
1640,-0.0736
1640,0.356
1640,0.708
1650,0.66
1650,0.125
1650,-0.354
1650,-0.395
1650,-0.185
1650,0.0116
1660,0.128
1660,0.153
1660,0.0259
1660,-0.117
1660,0.0193
1660,0.34
1670,0.483
1670,0.398
1670,0.298
1670,0.265
1670,0.203
1670,0.0931
1680,-0.0352
1680,-0.265
1680,-0.473
1680,-0.346
1680,-0.03
1680,0.133
1690,0.149
1690,0.0752
1690,-0.0551
1690,0.0836
